CampaignID,CampaignName,Platform,AdType,StartDate,EndDate,Status,Impressions,Reach,Clicks,Likes,Comments,Shares,VideoViews,LinkClicks,CTR (%),EngagementRate (%),AdSpend ($),Revenue ($),Conversions,ConversionRate (%),CPC ($),CPM ($),ROAS,ROI (%),AudienceAge,AudienceGender,Objective,CostPerConversion ($)
CMP-0001,TW-0001,Twitter,Image,2024-05-20,2024-06-09,Completed,112473,83044,12102,11470,1541.0,513.0,5446,7898,10.76,12.02,9348.28,35050.65,165,1.36,0.77,83.12,3.75,274.94,45+,M,Awareness,56.66
CMP-0002,FB-0002,Facebook,Video,2024-06-23,2024-07-15,Paused,112175,50071,1808,4051,691.0,685.0,68517,1207,1.61,4.84,17344.78,56547.51,264,14.6,9.59,154.62,3.26,226.02,35-44,All,Conversions,65.7
CMP-0003,TW-0003,Twitter,Video,2024-02-10,2024-02-29,Completed,403591,217530,31521,44766,5552.0,3291.0,115783,27370,7.81,13.28,27606.33,37425.71,3174,10.07,0.88,68.4,1.36,35.57,25-34,M,Engagement,8.7
CMP-0004,TW-0004,Twitter,Video,2024-01-29,2024-02-17,Completed,335776,201661,4234,9959,1627.0,1542.0,83554,2750,1.26,3.91,29106.91,35346.21,566,13.37,6.87,86.69,1.21,21.44,25-34,M,Engagement,51.43
CMP-0005,TW-0005,Twitter,Story,2024-07-23,2024-08-20,Completed,150051,98247,2318,2040,3779.0,286.0,98201,1416,1.54,4.07,17482.06,95812.3,43,1.86,7.54,116.51,5.48,448.06,35-44,All,Conversions,406.56
CMP-0006,TW-0006,Twitter,Image,2024-10-01,2024-10-23,Completed,361699,164853,19892,31256,7525.0,5630.0,19618,12935,5.5,12.28,41111.94,199499.51,696,3.5,2.07,113.66,4.85,385.26,35-44,All,Engagement,59.07
CMP-0007,IG-0007,Instagram,Video,2024-09-28,2024-10-03,Completed,517340,211974,57862,132725,28712.0,11839.0,72710,48546,11.18,33.49,4311.58,12632.72,8249,14.26,0.07,8.33,2.93,193.0,18-24,All,Engagement,0.52
CMP-0008,IG-0008,Instagram,Video,2024-11-06,2024-12-08,Completed,570492,443633,48112,96801,12564.0,14275.0,206172,40885,8.43,21.67,11531.8,9457.57,3522,7.32,0.24,20.21,0.82,-17.99,18-24,All,Traffic,3.27
CMP-0009,FB-0009,Facebook,Image,2024-01-31,2024-02-19,Active,351479,153044,11377,22040,2046.0,1348.0,49775,7799,3.24,7.24,35415.56,160697.57,866,7.61,3.11,100.76,4.54,353.75,25-34,M,Conversions,40.9
CMP-0010,IG-0010,Instagram,Story,2024-01-28,2024-02-08,Completed,360784,288734,6337,7133,1121.0,445.0,82418,4000,1.76,2.41,3854.63,17500.45,839,13.24,0.61,10.68,4.54,354.01,18-24,M,Traffic,4.59
CMP-0011,FB-0011,Facebook,Image,2024-05-01,2024-05-16,Completed,509740,258373,26057,23442,2948.0,4633.0,27768,20638,5.11,6.09,19323.83,102157.13,1920,7.37,0.74,37.91,5.29,428.66,45+,M,Sales,10.06
CMP-0012,FB-0012,Facebook,Image,2024-01-30,2024-02-07,Completed,532276,457594,35172,31538,4780.0,5557.0,15386,15263,6.61,7.87,18468.01,96181.04,4595,13.06,0.53,34.7,5.21,420.8,25-34,All,Conversions,4.02
CMP-0013,IG-0013,Instagram,Carousel,2024-04-14,2024-05-09,Completed,420011,195489,33278,52488,12376.0,9957.0,8908,23646,7.92,17.81,4949.17,15778.81,2955,8.88,0.15,11.78,3.19,218.82,35-44,M,Sales,1.67
